Product Name,SIZE,COLOUR,Brand,Category,Details ,SELLING PRICE INCLUDING GST ( Y / N ),Discount ,title
K-23 - 308 - Rust,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Rust
Sole - TPR",3265,,
K-23 - 308 -Maroon,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Maroon,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Maroon
Sole - TPR",3265,,
K-22-85-Begie,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Begie,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Begie
Sole - TPR",3265,,
K-22-85-N.Blue,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",N.Blue,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - N.Blue
Sole - TPR",3265,,
K-22-85-Rust,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Rust
Sole - TPR",3265,,
K-20-207-Begie,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Begie,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 2
Colour - Begie
Sole - TPR",3325,,
K-20-207-N.Blue,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",N.Blue,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 2
Colour - N.Blue
Sole - TPR",3325,,
K-20-207-Maroon,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Maroon,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 2
Colour - Maroon
Sole - TPR",3325,,
K-23-250 - T Blue,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",T Blue,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - T Blue
Sole - TPR",3095,,
K-23-250 -  Maroon,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Maroon,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Maroon
Sole - TPR",3095,,
K-23-250 - Orange,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Orange,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Orange
Sole - TPR",3095,,
K-23-727 - M Yellow,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",M Yellow,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 2
Colour - M Yellow
Sole - TPR",3435,,
K-23-727 - L Gray,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",L Gray,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 2
Colour - L Gray
Sole - TPR",3435,,
K-23-727 - Chique,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Chique,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 2
Colour - Chique
Sole - TPR",3435,,
K-22-647-Rust,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 1.5
Colour - Rust
Sole - TPR",3435,,
K-22-647-Black,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Black,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 1.5
Colour - Black
Sole - TPR",3435,,
K-22-647-Chikoo,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Chikoo,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height -  1.5
Colour - Chikoo
Sole - TPR",3435,,
K-23-639-Maroon,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Maroon,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Maroon
Sole - TPR",3235,,
K-23-639-Begie,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Begie,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Begie
Sole - TPR",3235,,
K-23-639-Rust,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Rust
Sole - TPR",3235,,
K-23-702-Rust,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Rust
Sole - TPR",3265,,
K-23-702-Maroon,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Maroon,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Maroon
Sole - TPR",3265,,
K-23-702-Begie,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Begie,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Begie
Sole - TPR",3265,,
K-12-307-Maroon,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Maroon,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Maroon
Sole - TPR",3095,,
K-12-307-Begie,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Begie,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Begie
Sole - TPR",3095,,
K-12-307-O.Green,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",O.Green,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - O.Green
Sole - TPR",3095,,
K-22-689-Browon,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Browon,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Browon
Sole - TPR",3435,,
K-22-689-N.Blue,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",N.Blue,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - N.Blue
Sole - TPR",3435,,
K-22-689-Chikoo,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Chikoo,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Chikoo
Sole - TPR",3435,,
K-23-695-N.Blue,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",N.Blue,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat 
Heel Height - NA
Colour - N.Blue
Sole - TPR",3265,,
K-23-695-Begie,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Begie,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Begie
Sole - TPR",3265,,
K-23-695-Chikoo,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Chikoo,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Chikoo
Sole - TPR",3265,,
K-23-751-Rust,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Ruat,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA
Colour - Ruat
Sole - TPR",3235,,
